Fraction,mz_253.1234,mz_257.1547,mz_259.17035,mz_267.13905,mz_271.17035,mz_273.14962,mz_273.186,mz_281.1547,mz_285.186,mz_287.16527,mz_287.20165,mz_289.14453,mz_295.17035,mz_297.11323,mz_299.20165,mz_301.14453,mz_301.18092,mz_301.2173,mz_303.16018,mz_309.186,mz_311.12888,mz_313.2173,mz_315.16018,mz_315.19657,mz_315.23295,mz_317.13945,mz_317.17583,mz_323.20165,mz_325.14453,mz_325.18092,mz_327.19657,mz_327.23295,mz_329.17583,mz_329.21222,mz_329.2486,mz_331.1551,mz_331.19148,mz_331.22787,mz_333.13436,mz_339.16018,mz_343.19148,mz_345.17075,mz_345.20713,mz_347.15001,mz_347.22278,mz_353.17583,mz_357.20713,mz_359.1864,mz_359.22278,mz_361.16566,mz_361.20205,mz_367.19148,mz_368.12599,mz_369.17075,mz_371.1864,mz_371.22278,mz_373.20205,mz_373.23843,mz_375.18131,mz_375.2177,mz_387.18131,mz_391.21261,mz_405.19188
FR1-5,0,0,0,0,0,0,438,0,0,0,394,501,848,0,833,549,0,687,0,0,1203,0,0,782,243,0,914,0,0,0,0,0,558,0,2348,0,1017,0,0,0,2578,1364,6225,1890,26543,2420,2062,1573,0,2053,2366,0,0,2610,2075,0,1744,2420,4558,648,0,0,1553
FR6,0,0,654,0,0,0,494,0,0,0,0,1118,0,0,0,0,685,503,1211,0,0,0,0,1134,0,0,1682,0,0,7258,3852,0,0,2355,0,0,0,0,1382,0,11254,1990,6606,0,32290,3613,2645,4177,0,3101,2832,4070,0,0,3018,1505,2504,0,2782,918,0,2580,2604
FR7,0,0,364,0,0,791,315,0,0,910,300,0,0,0,0,0,0,485,884,0,0,0,858,1002,0,0,0,0,0,4399,3089,0,1703,1330,0,1403,1229,0,987,2540,6637,2031,4831,0,25686,4312,4673,3868,0,1978,0,2589,0,2967,5048,1975,3004,1833,3499,1214,0,0,1763
FR8,0,853,0,0,0,2482,354,0,0,0,303,0,0,0,0,0,0,438,1040,0,2482,0,0,616,322,0,1051,0,0,0,0,0,0,0,0,0,804,0,0,0,4564,1114,2408,0,20472,0,2880,3006,0,0,0,2104,1069,6123,1834,1985,1859,2424,2304,960,2287,1262,0
FR9,0,0,0,0,0,0,506,0,0,0,428,616,0,0,0,1173,1068,368,0,0,0,0,0,0,0,0,1001,1838,972,9102,4128,0,2872,1592,0,0,1207,0,1158,2075,8156,2125,2319,0,15720,2537,4135,3652,1599,1383,0,2854,0,1852,2905,2711,2508,3239,2323,1460,1800,1722,2141
FR10,0,0,592,0,0,1085,0,0,0,299,0,584,0,0,0,0,0,246,0,0,1006,0,0,0,0,567,0,0,0,0,0,0,0,989,0,0,497,0,1129,0,2946,987,1512,0,14197,1006,1803,0,1030,1227,1432,1771,0,2682,0,1358,969,0,1278,730,1411,1079,1915
FR11,0,0,0,0,0,683,446,0,0,0,0,0,0,0,0,0,0,0,445,0,0,0,0,0,0,0,0,0,0,0,3072,0,0,0,0,0,986,0,1213,0,3734,1320,1595,0,12914,1373,1743,1361,0,0,1213,0,0,0,0,3375,958,1661,1368,651,0,1064,1377
FR12,0,0,146,0,0,678,0,0,0,0,0,604,0,0,0,0,0,247,622,0,0,747,0,0,0,859,394,0,925,2708,1952,0,1472,0,0,0,0,0,788,0,3768,1017,1529,0,11942,0,1190,0,626,1210,846,0,783,0,0,6202,847,0,1562,0,1295,967,0
FR13,0,0,0,0,0,664,325,0,0,0,246,1096,0,0,0,0,0,195,0,0,0,0,0,0,0,0,0,0,0,2124,0,0,1140,0,0,0,624,0,1287,0,2751,1102,1431,0,11493,0,0,0,716,1155,1009,0,866,1172,0,6940,959,0,0,0,1382,1425,1212
FR14,0,0,151,0,0,798,316,0,0,251,0,0,0,0,0,0,0,239,627,0,0,0,602,0,0,0,0,0,0,2207,1700,0,1432,0,0,0,928,0,1272,1221,2682,0,1143,0,10656,0,0,0,619,0,947,0,0,0,0,6158,0,1383,0,975,1188,1010,1178
FR15,0,0,239,0,0,666,0,0,0,537,267,0,0,0,0,0,0,0,475,0,796,0,0,0,0,684,0,0,0,0,3506,0,0,3311,0,0,0,0,0,0,3476,1110,1602,0,12315,0,1425,1293,785,1131,0,0,0,0,0,6346,613,2045,1277,626,1433,992,0
FR16,0,0,0,0,0,760,0,0,0,0,0,822,0,0,1205,888,556,0,951,0,0,0,0,0,0,1038,806,0,820,4678,19691,0,0,28300,0,0,0,0,1513,1364,10459,1124,4666,1450,10229,0,2297,0,1901,1312,19691,1731,873,1007,1593,15874,3212,3617,2200,1254,0,0,0
FR17,0,0,0,0,0,712,0,0,0,0,358,0,0,0,0,0,542,200,0,2933,0,0,0,1045,0,622,817,0,0,4597,33654,0,2016,58255,0,0,0,0,0,0,13636,1192,5342,0,11533,0,2224,3510,2374,0,0,2421,0,0,0,13129,3897,4088,1825,1657,1235,1382,0
FR18,650,0,509,0,0,1096,0,0,0,587,0,1063,0,0,0,0,0,0,0,0,0,0,0,1903,0,807,1176,0,0,11334,91318,0,3122,159158,0,0,1591,0,1242,2047,30264,1602,11981,0,10385,1462,4052,5248,4623,0,2064,2792,0,0,2100,18904,7370,6588,2503,2520,1062,1417,0
FR19,0,0,501,0,1301,0,0,0,0,606,289,1118,0,0,0,0,1377,195,790,3107,0,0,0,1165,0,1437,1105,0,863,16549,93394,0,2795,149991,0,898,0,0,1419,1578,28988,1375,11741,1376,11250,2164,3119,4188,3030,1134,1892,2399,0,966,1670,10958,6470,6250,2115,2006,1307,1532,0
FR20,668,0,0,0,0,0,324,0,0,821,0,992,0,0,0,0,1475,0,0,5090,0,0,0,1630,677,1321,695,1797,0,0,108909,0,2924,177848,0,1096,0,0,0,2347,33338,1340,13503,0,10749,2692,4403,4641,3790,1170,2502,2864,0,24028,1773,0,10239,5821,3022,2662,0,2303,0
