Fraction,CBCA,CBLA,CBDA,THCA-A,CBDA-EE
FR1-5,0.0,0.0,4122.83915189113,0.0,0.0
FR6,0.0,0.0,114.59023160965,0.0,0.0
FR7,0.0,0.0,253.496462051596,0.0,0.0
FR8,3052.44787664658,1371.75288939018,9413.8830622974,2716.23835271432,0.0
FR9,2649.13370588851,611.570331434109,6332.47208545576,4651.52702656301,0.0
FR10,2718.91512794129,1016.65857992798,8724.94667166121,4979.44512527211,0.0
FR11,2055.08066340222,1257.54760281321,4422.0196643963,2600.92432374819,0.0
FR12,848.644248062905,532.662836785081,9245.64088630755,1980.71072593309,0.0
FR13,835.338010371488,805.375697041373,9187.99142781998,2599.36407738354,1238.89922768157
FR14,1036.27576208007,1552.68638203669,9913.18749497925,3928.59269893528,6789.82592031349
FR15,1626.78155152323,3888.4973111783,14985.5655480403,9566.81647108816,17371.4100975887
FR16,2640.59727374424,1927.95269154354,15331.2790410048,8768.56239346746,28614.6604884126
FR17,5234.08776699886,4523.74381668596,15116.59933746,10132.0470490128,209283.799323936
FR18,3018.84801018299,4997.22339010093,21002.4905154319,10486.3905475067,530649.371029803
FR19,864.059935839111,1603.08648914069,3516.31846327908,3567.9803731699,248580.967074079
FR20,1753.25181590874,1405.82173975438,23647.5056574711,22465.8323596767,865726.531765093
FR21,0.0,970.772306950569,23063.9114079669,31391.6053918596,1116776.70768412
FR22,7286.46232593434,4476.63733834605,36720.2253048909,64515.6792140807,2544661.32904494
FR23,0.0,0.0,23070.1724804903,55008.0704186124,1489953.29115893
FR24,2898.41268901803,1651.28183208056,10733.9007224547,49382.8789845299,1347457.04750711
FR25,1294.44537765052,1273.35373526944,9403.28010590913,19573.7132013789,723220.869297997
FR26,568.309736510938,0.0,5084.24726662246,38929.6894017557,916511.438848626
FR27,0.0,0.0,14804.8913024302,84888.5133380337,1970432.97063982
FR28,0.0,0.0,18185.0225204383,108322.618983601,1791017.16721867
FR29,0.0,0.0,5368.7581718878,37294.7149382106,857690.93901137
FR30,0.0,0.0,4819.41933095617,54019.4390532076,993814.180611114
FR31,0.0,0.0,4087.5537678119,52444.5676192339,867454.85634681
FR32,0.0,0.0,2166.49809563377,29146.7435052105,548619.986004967
FR33,5282.61455564589,3367.47272871725,37782.6926633393,150709.571437497,2679241.24981363
FR34,0.0,0.0,22295.9001736296,128878.938995349,1833754.07936152
FR35,0.0,0.0,5040.7779436893,42410.4546178895,648826.977280462
FR36,0.0,0.0,8401.89327201877,82796.422112531,1548961.28510533
FR37,0.0,0.0,4570.56830698294,48169.5937179561,878621.071661943
FR38,3684.88244669358,1361.43639254612,35946.0754542833,134855.301688061,2351526.74303478
FR39,0.0,0.0,5540.92130511047,64541.3070391515,901189.586291178
FR40,0.0,349.928701270268,4432.3414316554,13491.5479429187,301906.977099654
FR41,0.0,0.0,2010.80833876069,29917.7558386924,424604.963409935
FR42,0.0,0.0,17793.2743809081,113431.166430017,1485257.39353027
FR43,0.0,0.0,5455.85237158373,45364.000841919,818297.760649223
FR44,0.0,0.0,6941.55647113455,64019.2044629432,751144.903049747
FR45,0.0,0.0,7275.35372964146,42831.6648967216,710842.565424625
FR46,1539.030278016,1353.51877208986,6965.8181467559,12061.5850253893,276578.304978547
FR47,797.184212910914,1116.82888384915,6613.0294214477,11360.6009583288,137430.798728698
FR48,245.723796194932,903.828870444032,8416.72923403924,12090.7424366987,206660.274304478
FR49,1639.64842981715,880.906790345853,10288.21626199,15765.8223547245,198699.912951994
FR50-54,1199.92213785205,508.739920601275,12350.7818621416,17336.8929163313,131944.967191786
FR55-65,1397.17705920126,1060.43290422399,19468.9787803598,8063.98810967435,43363.8799838421
